Title,Link,Skills
Software Engineer Apprentice (October 2021- March 2022),https://www.indeed.com/rc/clk?jk=bc2301f0ce427cfc&fccid=7af474979a2ce5fb&vjs=3,"{'node.js', 'elixir', 'es6', 'design', 'mobile', 'engineering', 'computer-science', 'typescript', 'support', 'testing', 'react', 'ruby', 'css', 'redux', 'software-engineering', 'python'}"
Software Engineer-Remote OK,https://www.indeed.com/rc/clk?jk=d819ac132ac30c99&fccid=aef928e89977f7f0&vjs=3,"{'docker', 'security', 'design', 'engineering', 'testing', 'shell', 'support', 'kubernetes', 'debugging', 'python', 'languages', 'software'}"
Entry Level Full Stack Software Engineer,https://www.indeed.com/rc/clk?jk=b3a37468aa5fe5b7&fccid=1b866506aec22461&vjs=3,"{'mysql', 'system-integration', 'git', 'new-relic', 'jenkins', 'html', 'linux', 'rspec', 'software', 'nodejs', 'design', 'framework', 'react', 'css', 'database', 'computer-science', 'rails', 'business', 'ruby', 'schedule', 'javascript', 'scalability'}"
Software Engineer (Recent Graduate),https://www.indeed.com/rc/clk?jk=9b6cad7f40080b62&fccid=ba0b4ef452449c10&vjs=3,"{'mobile', 'design', 'ios', 'algorithm', 'git', 'engineering', 'computer-science', 'support', 'android', 'data-structures', 'business', 'software-engineering', 'software'}"
Staff Software Engineer,https://www.indeed.com/company/PlanetArt/jobs/Staff-Software-Engineer-55652a6644cae5a5?fccid=451cbcb1434e6c55&vjs=3,"{'confluence', 'algorithm', 'git', 'c', 'testing', 'libraries', 'software', 'design', 'java', 'framework', 'dotnet', 'data-stream', 'database', 'devops', 'programming-language', 'engineering', 'computer-science', 'commerce', 'business', 'schedule', 'sql', 'code-coverage', 'support', 'query-optimization', 'nosql', 'performance-monitoring', 'database-design', 'data-structure'}"
Software Engineer University Grad,https://www.indeed.com/rc/clk?jk=7671b93ff7b28597&fccid=8b219f1987ef65ea&vjs=3,"{'design', 'documentation', 'object-oriented-programming', 'git', 'devops', 'bash', 'computer-science', 'c', 'testing', 'shell', 'commerce', 'linux', 'computer-engineering', 'jenkins', 'operating-systems', 'python', 'software'}"
Software Engineer,https://www.indeed.com/company/JetHead-Development/jobs/Software-Engineer-686cf9e6d2658461?fccid=3aac2e78b3115a1c&vjs=3,"{'android', 'schedule', 'linux', 'software'}"
Embedded Software Engineer,https://www.indeed.com/rc/clk?jk=37e2c07439c94393&fccid=1639254ea84748b5&vjs=3,"{'security', 'electrical-engineering', 'augmented-reality', 'c', 'android', 'linux', 'operating-systems', 'software', 'memory-management', 'design', 'power-management', 'debugging', 'computer-engineering', 'microcontroller', 'software-engineering', 'documentation', 'synchronization', 'component', 'computer-science', 'business', 'support', 'virtual-reality', 'coreos'}"
Software Engineer I,https://www.indeed.com/rc/clk?jk=343930a6d606668f&fccid=734cb5a01ee60f80&vjs=3,"{'windows', 'communications', 'security', 'internet-of-things', 'design', 'electrical-engineering', 'computer-science', 'c', 'systems-engineering', 'computer-engineering', 'machine-learning', 'interaction', 'debugging', 'collaboration', 'computer-vision', 'linux', 'software'}"
Software Engineer (Java or C++),"https://www.indeed.com/company/Abalta-Technologies,-Inc/jobs/Software-Engineer-4d78df615e772174?fccid=1860d9c274848f47&vjs=3","{'windows', 'schedule', 'mobile', 'design', 'ios', 'java', 'engineering', 'cpp', 'android', 'play', 'linux', 'operating-systems', 'languages', 'software'}"
